date,population,hypo
1970,8793,29127
1971,9530,29127
1972,10102,29127
1973,10344,29127
1974,11326,29127
1975,13880,29127
1976,16809,29127
1977,18963,29127
1978,19794,29127
1979,19995,29127
1980,19692,29127
1981,21575,29127
1982,26161,29127
1983,27717,29127.17775
1984,26471,30058.56975
1985,28310,31016.00425
1986,29712,32059.06825
1987,32764,33119.922
1988,33681,34156.27325
1989,38059,34552.7586
1990,42733,34847.57155
1991,46233,34309.4752
1992,47012,34232.2608
1993,50603,34021.5675
1994,56052,34697.2625
1995,61992,35373.2925
1996,64333,36028.9075
1997,64713,36782.305
1998,66280,37501.1875
1999,68599,38305.1
2000,71233,39955.945
2001,72007,40829.3475
2002,73553,41686.52
2003,77316,42678.77
2004,81974,43791.83
2005,84901,44795.5675
2006,88576,45872.83
2007,92844,46700.9175
2008,98192,47018.0475
2009,100894,46876.2075
2010,102232,46929.42
2011,102319,47262.62
2012,100527,47686.085
2013,100884,48148.8575
2014,100942,48768.4225
2015,100050,49537.9575
2016,99119,50678.18